id,holes,edges,vertices,epsilon,bonus_0_bonus,bonus_0_problem,bonus_1_bonus,bonus_1_problem,bonus_2_bonus,bonus_2_problem
1,9,30,20,150000,"GLOBALIST",35,"WALLHACK",50,"BREAK_A_LEG",38
2,20,48,39,250000,"BREAK_A_LEG",39,"GLOBALIST",87,"BREAK_A_LEG",81
3,26,38,36,180000,"GLOBALIST",60,"GLOBALIST",81,"WALLHACK",59
4,11,50,43,200000,"BREAK_A_LEG",63,"BREAK_A_LEG",92,"BREAK_A_LEG",17
5,14,60,45,200000,"BREAK_A_LEG",78,"WALLHACK",10,"BREAK_A_LEG",110
6,13,48,39,150000,"GLOBALIST",16,"SUPERFLEX",26,"SUPERFLEX",50
7,8,114,58,200000,"GLOBALIST",12,"BREAK_A_LEG",95,"WALLHACK",115
8,10,21,13,200000,"BREAK_A_LEG",6,"WALLHACK",79,"BREAK_A_LEG",105
9,16,128,96,375000,"BREAK_A_LEG",14,"SUPERFLEX",60,"GLOBALIST",64
10,9,82,58,200000,"GLOBALIST",62,"SUPERFLEX",85,"GLOBALIST",76
11,3,3,3,0,"BREAK_A_LEG",31,"GLOBALIST",20,"GLOBALIST",49
12,3,4,4,0,"BREAK_A_LEG",67,"WALLHACK",69,"SUPERFLEX",30
13,4,4,4,2494,"GLOBALIST",46,"BREAK_A_LEG",88,"GLOBALIST",20
14,9,3,3,0,"BREAK_A_LEG",57,"GLOBALIST",53,"GLOBALIST",118
15,4,6,5,1250,"GLOBALIST",41,"SUPERFLEX",78,"GLOBALIST",94
16,5,5,5,8897,"BREAK_A_LEG",8,"BREAK_A_LEG",74,"GLOBALIST",32
17,5,6,5,11966,"GLOBALIST",84,"BREAK_A_LEG",67,"SUPERFLEX",68
18,5,6,5,6731,"GLOBALIST",72,"GLOBALIST",65,"GLOBALIST",129
19,14,3,3,0,"GLOBALIST",32,"WALLHACK",33,"SUPERFLEX",71
20,5,7,6,4757,"GLOBALIST",49,"GLOBALIST",97,"WALLHACK",6
21,4,10,7,47549,"GLOBALIST",17,"BREAK_A_LEG",73,"BREAK_A_LEG",111
22,6,8,6,30202,"GLOBALIST",74,"WALLHACK",64,"GLOBALIST",67
23,6,7,6,8317,"BREAK_A_LEG",18,"SUPERFLEX",37,"BREAK_A_LEG",124
24,5,8,7,8828,"BREAK_A_LEG",73,"WALLHACK",80,"GLOBALIST",128
25,6,9,7,16310,"BREAK_A_LEG",30,"WALLHACK",16,"GLOBALIST",82
26,6,11,7,15671,"BREAK_A_LEG",19,"SUPERFLEX",77,"WALLHACK",78
27,21,4,4,2500,"BREAK_A_LEG",23,"SUPERFLEX",47,"WALLHACK",107
28,24,4,4,1250,"GLOBALIST",65,"GLOBALIST",36,"SUPERFLEX",80
29,26,4,4,2500,"GLOBALIST",58,"GLOBALIST",9,"BREAK_A_LEG",114
30,18,6,5,1249,"BREAK_A_LEG",10,"SUPERFLEX",105,"GLOBALIST",34
31,20,7,5,13457,"GLOBALIST",75,"WALLHACK",8,"SUPERFLEX",130
32,20,5,5,9381,"BREAK_A_LEG",29,"BREAK_A_LEG",72,"BREAK_A_LEG",5
33,20,7,5,15533,"BREAK_A_LEG",53,"BREAK_A_LEG",71,"GLOBALIST",131
34,7,12,9,20152,"BREAK_A_LEG",4,"GLOBALIST",13,"GLOBALIST",12
35,7,11,9,24912,"GLOBALIST",47,"WALLHACK",14,"WALLHACK",126
36,23,5,5,15010,"BREAK_A_LEG",82,"BREAK_A_LEG",96,"GLOBALIST",75
37,16,9,6,16994,"BREAK_A_LEG",15,"SUPERFLEX",1,"BREAK_A_LEG",119
38,5,15,11,57852,"GLOBALIST",76,"SUPERFLEX",101,"WALLHACK",84
39,8,12,9,20037,"GLOBALIST",37,"BREAK_A_LEG",100,"BREAK_A_LEG",29
40,19,9,6,13279,"GLOBALIST",45,"SUPERFLEX",17,"WALLHACK",109
41,5,20,12,151751,"GLOBALIST",54,"SUPERFLEX",82,"WALLHACK",92
42,16,10,7,50378,"BREAK_A_LEG",79,"WALLHACK",48,"SUPERFLEX",127
43,5,21,13,40000,"BREAK_A_LEG",66,"WALLHACK",40,"BREAK_A_LEG",88
44,26,7,6,41631,"BREAK_A_LEG",88,"WALLHACK",5,"WALLHACK",73
45,26,7,6,32891,"GLOBALIST",25,"WALLHACK",52,"SUPERFLEX",48
46,7,21,12,137031,"BREAK_A_LEG",28,"WALLHACK",31,"GLOBALIST",16
47,10,15,11,41323,"BREAK_A_LEG",43,"SUPERFLEX",58,"SUPERFLEX",27
48,21,11,8,18565,"BREAK_A_LEG",11,"SUPERFLEX",76,"SUPERFLEX",13
49,8,21,13,164384,"BREAK_A_LEG",36,"BREAK_A_LEG",104,"WALLHACK",66
50,18,12,9,17065,"GLOBALIST",9,"GLOBALIST",70,"WALLHACK",91
51,10,21,13,38462,"BREAK_A_LEG",71,"SUPERFLEX",21,"GLOBALIST",72
52,9,21,14,40173,"GLOBALIST",55,"WALLHACK",29,"SUPERFLEX",113
53,7,26,16,26846,"GLOBALIST",38,"BREAK_A_LEG",44,"GLOBALIST",116
54,11,21,13,42736,"GLOBALIST",24,"SUPERFLEX",12,"BREAK_A_LEG",65
55,5,30,20,40000,"GLOBALIST",7,"GLOBALIST",19,"WALLHACK",47
56,19,15,11,18542,"GLOBALIST",50,"WALLHACK",90,"SUPERFLEX",11
57,18,18,12,23327,"GLOBALIST",33,"GLOBALIST",4,"SUPERFLEX",14
58,18,15,12,29340,"GLOBALIST",68,"WALLHACK",15,"BREAK_A_LEG",106
59,8,25,18,39400,"BREAK_A_LEG",3,"SUPERFLEX",55,"WALLHACK",60
60,19,38,36,90000,"GLOBALIST",80,"GLOBALIST",41,"GLOBALIST",79
61,26,21,15,58085,"BREAK_A_LEG",20,"SUPERFLEX",98,"GLOBALIST",132
62,23,93,60,155173,"GLOBALIST",22,"WALLHACK",22,"SUPERFLEX",74
63,18,48,39,57778,"BREAK_A_LEG",21,"WALLHACK",38,"GLOBALIST",18
64,50,132,92,44037,"GLOBALIST",85,"WALLHACK",83,"WALLHACK",4
65,42,82,58,36112,"BREAK_A_LEG",42,"WALLHACK",49,"GLOBALIST",62
66,27,15,12,67543,"GLOBALIST",34,"SUPERFLEX",103,"GLOBALIST",31
67,14,30,20,40000,"GLOBALIST",5,"SUPERFLEX",42,"GLOBALIST",45
68,56,146,99,39345,"BREAK_A_LEG",69,"WALLHACK",102,"SUPERFLEX",99
69,14,41,34,187500,"GLOBALIST",70,"WALLHACK",28,"WALLHACK",3
70,36,114,58,177778,"BREAK_A_LEG",61,"WALLHACK",54,"WALLHACK",103
71,24,95,63,42388,"BREAK_A_LEG",87,"GLOBALIST",89,"WALLHACK",120
72,10,59,49,171875,"GLOBALIST",40,"SUPERFLEX",32,"SUPERFLEX",117
73,9,48,39,183674,"BREAK_A_LEG",86,"BREAK_A_LEG",11,"GLOBALIST",41
74,26,199,137,120690,"BREAK_A_LEG",77,"SUPERFLEX",56,"WALLHACK",121
75,81,182,118,68768,"BREAK_A_LEG",81,"SUPERFLEX",35,"BREAK_A_LEG",51
76,15,106,73,55614,"BREAK_A_LEG",64,"SUPERFLEX",46,"SUPERFLEX",15
77,10,137,88,65574,"GLOBALIST",83,"GLOBALIST",39,"SUPERFLEX",8
78,25,167,113,300000,"BREAK_A_LEG",56,"SUPERFLEX",24,"BREAK_A_LEG",35
79,31,48,39,180000,"GLOBALIST",1,"BREAK_A_LEG",62,"WALLHACK",83
80,57,94,65,52288,"GLOBALIST",13,"WALLHACK",93,"SUPERFLEX",112
81,22,59,49,103449,"BREAK_A_LEG",27,"WALLHACK",43,"SUPERFLEX",69
82,18,107,65,152000,"GLOBALIST",2,"SUPERFLEX",75,"BREAK_A_LEG",108
83,29,59,49,205480,"GLOBALIST",44,"SUPERFLEX",63,"SUPERFLEX",101
84,16,41,34,94675,"GLOBALIST",52,"SUPERFLEX",99,"BREAK_A_LEG",46
85,64,167,113,230770,"BREAK_A_LEG",48,"SUPERFLEX",57,"GLOBALIST",87
86,28,114,58,250000,"BREAK_A_LEG",51,"SUPERFLEX",94,"SUPERFLEX",55
87,28,126,92,280000,"GLOBALIST",26,"SUPERFLEX",106,"BREAK_A_LEG",100
88,25,21,13,160000,"GLOBALIST",59,"BREAK_A_LEG",27,"BREAK_A_LEG",123
89,90,48,39,250000,"BREAK_A_LEG",103,"GLOBALIST",18,"SUPERFLEX",95
90,76,234,150,21764,"SUPERFLEX",106,"WALLHACK",6,"GLOBALIST",53
91,43,72,48,250000,"GLOBALIST",93,"SUPERFLEX",23,"SUPERFLEX",54
92,60,30,20,160000,"BREAK_A_LEG",99,"SUPERFLEX",30,"GLOBALIST",7
93,68,167,113,235295,"GLOBALIST",90,"GLOBALIST",86,"BREAK_A_LEG",39
94,34,72,48,310345,"BREAK_A_LEG",102,"WALLHACK",91,"SUPERFLEX",122
95,30,167,113,250000,"BREAK_A_LEG",101,"SUPERFLEX",45,"BREAK_A_LEG",2
96,30,91,65,250000,"BREAK_A_LEG",95,"WALLHACK",2,"SUPERFLEX",36
97,43,98,65,36586,"GLOBALIST",100,"WALLHACK",61,"WALLHACK",1
98,40,86,56,99586,"GLOBALIST",97,"WALLHACK",34,"WALLHACK",93
99,48,79,55,250000,"BREAK_A_LEG",91,"GLOBALIST",25,"GLOBALIST",22
100,29,126,92,250000,"WALLHACK",96,"SUPERFLEX",59,"SUPERFLEX",85
101,34,91,65,247059,"SUPERFLEX",98,"BREAK_A_LEG",84,"WALLHACK",40
102,44,93,63,97800,"GLOBALIST",92,"WALLHACK",66,"WALLHACK",33
103,77,48,39,180000,"GLOBALIST",104,"BREAK_A_LEG",3,"WALLHACK",28
104,62,38,36,200000,"SUPERFLEX",105,"SUPERFLEX",7,"BREAK_A_LEG",58
105,98,311,201,34063,"SUPERFLEX",89,"SUPERFLEX",68,"GLOBALIST",37
106,73,203,132,22722,"BREAK_A_LEG",94,"SUPERFLEX",51,"BREAK_A_LEG",104
107,29,167,113,150000,"SUPERFLEX",125,"BREAK_A_LEG",130,"WALLHACK",10
108,46,30,20,160000,"WALLHACK",121,"BREAK_A_LEG",110,"GLOBALIST",125
109,20,73,43,146789,"BREAK_A_LEG",108,"GLOBALIST",115,"SUPERFLEX",43
110,41,60,45,150000,"GLOBALIST",131,"WALLHACK",128,"SUPERFLEX",102
111,43,70,48,78067,"WALLHACK",126,"BREAK_A_LEG",117,"GLOBALIST",26
112,38,68,43,70022,"SUPERFLEX",107,"SUPERFLEX",108,"GLOBALIST",77
113,56,50,43,110000,"GLOBALIST",112,"SUPERFLEX",123,"SUPERFLEX",90
114,108,350,224,72399,"GLOBALIST",128,"WALLHACK",116,"BREAK_A_LEG",86
115,48,91,65,110000,"BREAK_A_LEG",122,"SUPERFLEX",131,"GLOBALIST",19
116,22,94,62,57318,"SUPERFLEX",117,"GLOBALIST",120,"BREAK_A_LEG",89
117,41,79,55,234568,"WALLHACK",118,"WALLHACK",111,"GLOBALIST",57
118,18,161,108,60061,"GLOBALIST",116,"BREAK_A_LEG",132,"GLOBALIST",97
119,44,72,48,90000,"BREAK_A_LEG",111,"WALLHACK",118,"GLOBALIST",42
120,46,82,58,100000,"SUPERFLEX",132,"SUPERFLEX",121,"WALLHACK",63
121,26,105,71,121828,"SUPERFLEX",127,"GLOBALIST",109,"GLOBALIST",21
122,66,320,215,69098,"GLOBALIST",115,"BREAK_A_LEG",114,"WALLHACK",9
123,56,38,36,150000,"BREAK_A_LEG",114,"SUPERFLEX",113,"GLOBALIST",24
124,30,69,47,74271,"BREAK_A_LEG",120,"GLOBALIST",107,"WALLHACK",56
125,98,304,202,70632,"GLOBALIST",130,"GLOBALIST",126,"WALLHACK",52
126,74,206,138,59851,"SUPERFLEX",129,"WALLHACK",122,"BREAK_A_LEG",61
127,35,21,13,164384,"SUPERFLEX",113,"BREAK_A_LEG",112,"GLOBALIST",44
128,26,91,62,67217,"BREAK_A_LEG",124,"GLOBALIST",119,"BREAK_A_LEG",25
129,37,126,92,140000,"SUPERFLEX",110,"BREAK_A_LEG",125,"WALLHACK",98
130,30,114,58,130000,"BREAK_A_LEG",119,"GLOBALIST",127,"BREAK_A_LEG",70
131,57,59,49,219513,"SUPERFLEX",109,"SUPERFLEX",124,"BREAK_A_LEG",23
132,22,152,84,120000,"SUPERFLEX",123,"WALLHACK",129,"WALLHACK",96
